id,Date,Time,Start_Point,Finish_Point,Result_,Start_time,Finish_time,Duration,Distance,Battery_remain,Battery_usage
396,2024-07-08,13:08:00,HOME,A,OK,13:07:35,13:08:00,26,3.95353,26.6575,-0.0224991
397,2024-07-08,13:08:38,A,B,OK,13:08:08,13:08:39,30,7.52927,26.595,-0.0225067
398,2024-07-08,13:09:14,B,C,OK,13:08:43,13:09:14,31,7.18893,26.5925,-0.101248
399,2024-07-08,13:10:00,C,D,OK,13:09:18,13:10:00,43,12.2174,26.57,-0.0600014
400,2024-07-08,13:10:28,D,E,OK,13:10:05,13:10:29,24,5.23427,26.6275,0.00125122
401,2024-07-08,13:11:13,E,HOME,OK,13:10:32,13:11:14,41,11.3514,26.5737,0.0325012
402,2024-07-08,13:12:22,HOME,A,OK,13:12:07,13:12:23,16,3.28625,26.6112,-0.0587502
403,2024-07-08,13:12:55,A,B,OK,13:12:25,13:12:56,30,7.55301,26.53,-0.0562553
404,2024-07-08,13:13:29,B,C,OK,13:12:58,13:13:29,31,7.22663,26.535,-0.10375
405,2024-07-08,13:14:14,C,D,OK,13:13:31,13:14:14,43,11.995,26.5825,0.0287514
406,2024-07-08,13:16:23,D,E,OK,13:15:59,13:16:24,25,5.24689,26.6437,-0.00250053
407,2024-07-08,13:17:44,E,HOME,OK,13:16:52,13:17:45,53,12.944,26.5037,-0.0562496
408,2024-07-08,13:18:19,HOME,A,OK,13:18:05,13:18:20,15,3.52579,26.5,-0.0349998
409,2024-07-08,13:19:06,A,C,OK,13:18:25,13:19:07,42,15.7592,26.5063,-0.0212498
410,2024-07-08,13:19:45,C,HOME,OK,13:19:08,13:19:45,37,18.2266,26.6038,0.0200043
411,2024-07-08,13:20:38,HOME,C,OK,13:19:58,13:20:39,41,18.2139,26.535,0.0262451
412,2024-07-08,13:24:01,C,D,OK,13:22:48,13:24:02,74,19.9147,26.5825,-0.0387516
413,2024-07-08,13:24:34,D,E,OK,13:24:12,13:24:34,22,6.14185,26.54,0.0112514
414,2024-07-08,13:25:07,E,HOME,OK,13:24:36,13:25:07,31,12.5354,26.4813,-0.172497
415,2024-07-08,13:25:24,HOME,A,OK,13:25:11,13:25:25,14,3.72481,26.5938,0.00374794
416,2024-07-08,13:26:13,A,B,OK,13:25:48,13:26:14,26,7.55159,26.6275,0.09375
417,2024-07-08,13:26:47,B,C,OK,13:26:16,13:26:48,31,7.25548,26.5275,-0.00500107
418,2024-07-08,13:27:23,C,D,OK,13:26:50,13:27:23,33,11.9075,26.5763,-0.0575008
419,2024-07-08,13:30:51,D,E,OK,13:30:30,13:30:52,22,5.30325,26.5813,0.0412521
420,2024-07-08,13:31:28,E,HOME,OK,13:30:54,13:31:28,34,11.5089,26.5438,-0.0199986
421,2024-07-08,13:31:47,HOME,A,OK,13:31:31,13:31:47,16,3.53487,26.545,-0.0962505
422,2024-07-08,13:32:16,A,B,OK,13:31:50,13:32:16,26,7.64513,26.57,0.0487499
423,2024-07-08,13:32:44,B,C,OK,13:32:18,13:32:45,26,7.30754,26.63,0.0637493
424,2024-07-08,13:33:20,C,D,OK,13:32:47,13:33:21,34,12.031,26.5425,-0.0775051
425,2024-07-08,13:33:45,D,E,OK,13:33:23,13:33:45,22,5.43515,26.4925,-0.13125
426,2024-07-08,13:34:21,E,HOME,OK,13:33:47,13:34:21,34,11.2667,26.5438,-0.0187454
427,2024-07-08,13:34:40,HOME,A,OK,13:34:24,13:34:40,16,3.51645,26.5675,0.076252
428,2024-07-08,13:35:07,A,B,OK,13:34:42,13:35:08,26,7.61041,26.4875,-0.0974941
429,2024-07-08,13:35:36,B,C,OK,13:35:10,13:35:36,26,7.21024,26.6038,0.0150013
430,2024-07-08,13:36:12,C,D,OK,13:35:39,13:36:12,34,12.0176,26.5425,-0.058754
431,2024-07-08,13:36:37,D,E,OK,13:36:15,13:36:38,23,5.46802,26.515,-0.0487518
432,2024-07-08,13:37:17,E,HOME,OK,13:36:40,13:37:18,38,11.5107,26.51,0.0137501
433,2024-07-08,13:37:37,HOME,A,OK,13:37:21,13:37:37,16,3.526,26.48,-0.11375
434,2024-07-08,13:38:04,A,B,OK,13:37:39,13:38:05,26,7.64331,26.4912,0.0337486
435,2024-07-08,13:38:34,B,C,OK,13:38:07,13:38:34,27,7.29706,26.54,-0.0799999
436,2024-07-08,13:39:52,C,B,OK,13:39:29,13:39:53,24,6.75021,26.6275,0.0837498
437,2024-07-08,13:41:06,B,C,OK,13:40:41,13:41:06,25,6.94485,26.5238,-0.00124931
438,2024-07-08,13:41:42,C,D,OK,13:41:08,13:41:42,34,12.0244,26.6075,0.0874996
439,2024-07-08,13:42:05,D,E,OK,13:41:44,13:42:06,21,5.33859,26.5288,-0.00374794
440,2024-07-08,13:42:42,E,HOME,OK,13:42:07,13:42:43,35,11.5241,26.5088,-0.0787468
441,2024-07-08,13:43:00,HOME,A,OK,13:42:44,13:43:00,16,3.52585,26.52,0.0112495
442,2024-07-08,13:43:26,A,B,OK,13:43:02,13:43:27,25,7.61411,26.505,-0.0174999
443,2024-07-08,13:43:54,B,C,OK,13:43:28,13:43:54,26,7.07452,26.5362,-0.0412521
444,2024-07-08,13:44:29,C,D,OK,13:43:56,13:44:29,34,11.9963,26.555,0.09375
445,2024-07-08,13:44:53,D,E,OK,13:44:32,13:44:53,21,5.41946,26.4538,-0.0112476
446,2024-07-08,13:45:31,E,HOME,OK,13:44:56,13:45:31,35,11.4875,26.5613,0.0275002
447,2024-07-08,13:45:49,HOME,A,OK,13:45:33,13:45:49,16,3.53003,26.4575,-0.0175018
448,2024-07-08,13:46:16,A,B,OK,13:45:52,13:46:16,25,7.63959,26.465,-0.0450001
449,2024-07-08,13:46:44,B,C,OK,13:46:19,13:46:45,26,7.05679,26.5275,-0.0112514
450,2024-07-08,13:47:19,C,D,OK,13:46:46,13:47:20,34,12.0327,26.5125,-0.0762501
451,2024-07-08,13:47:57,D,HOME,OK,13:47:33,13:47:57,24,6.16507,26.5462,-0.0587521
452,2024-07-08,13:48:48,HOME,C,OK,13:48:00,13:48:48,49,17.8906,26.4675,0.0225048
453,2024-07-08,13:49:38,C,D,OK,13:49:05,13:49:38,33,12.0268,26.4938,-0.104998
454,2024-07-08,13:50:01,D,E,OK,13:49:41,13:50:02,21,5.36276,26.5388,0.0825024
455,2024-07-08,13:50:42,E,HOME,OK,13:50:04,13:50:43,39,11.3615,26.4538,-0.129997
456,2024-07-08,13:50:59,HOME,A,OK,13:50:45,13:51:00,14,3.55762,26.4875,-0.0637531
457,2024-07-08,13:51:22,A,B,OK,13:51:02,13:51:23,21,7.85962,26.605,0.0687504
458,2024-07-08,13:51:46,B,C,OK,13:51:25,13:51:46,22,6.97821,26.5275,0.0575008
459,2024-07-08,13:52:40,C,D,OK,13:51:49,13:52:40,52,16.2149,26.4875,-0.116255
460,2024-07-08,13:53:14,D,E,OK,13:52:42,13:53:15,32,7.56433,26.4637,-0.137501
461,2024-07-08,13:53:52,E,HOME,OK,13:53:17,13:53:52,35,11.4974,26.545,0.0137501
462,2024-07-08,13:54:21,HOME,A,OK,13:54:05,13:54:22,16,3.51208,26.5313,0.0525017
463,2024-07-08,13:54:48,A,B,OK,13:54:24,13:54:49,25,7.59979,26.5563,0.0275059
464,2024-07-08,13:55:16,B,C,OK,13:54:51,13:55:16,25,7.09381,26.5463,0.0362511
465,2024-07-08,13:55:51,C,D,OK,13:55:18,13:55:51,33,12.0646,26.5588,-0.0524998
466,2024-07-08,13:56:14,D,E,OK,13:55:53,13:56:14,21,5.35724,26.5187,-0.00375175
467,2024-07-08,13:56:50,E,HOME,OK,13:56:16,13:56:50,34,11.4357,26.5438,0.0412502
468,2024-07-08,13:57:09,HOME,A,OK,13:56:53,13:57:10,16,3.53015,26.5312,-0.0750027
469,2024-07-08,13:57:37,A,B,OK,13:57:12,13:57:37,25,7.61658,26.5575,0.0512505
470,2024-07-08,13:58:05,B,C,OK,13:57:40,13:58:05,26,7.08405,26.5812,0.0412464
471,2024-07-08,13:58:40,C,D,OK,13:58:07,13:58:40,33,12.0108,26.5588,-0.0249977
472,2024-07-08,13:59:04,D,E,OK,13:58:42,13:59:05,22,5.5108,26.5912,0.0162468
473,2024-07-08,13:59:41,E,HOME,OK,13:59:06,13:59:41,35,11.4909,26.4825,-0.0949993
474,2024-07-08,14:00:00,HOME,A,OK,13:59:44,14:00:00,16,3.51111,26.5238,0.0100002
475,2024-07-08,14:00:27,A,B,OK,14:00:02,14:00:28,25,7.59454,26.5362,0.0199966
476,2024-07-08,14:00:55,B,C,OK,14:00:30,14:00:56,26,7.07758,26.51,0.0100002
477,2024-07-08,14:01:30,C,D,OK,14:00:57,14:01:31,33,12.0088,26.5163,-0.0962467
478,2024-07-08,14:01:54,D,E,OK,14:01:32,14:01:55,22,5.47894,26.4775,-0.0224991
479,2024-07-08,14:02:31,E,HOME,OK,14:01:57,14:02:32,35,11.5201,26.535,0.0312481
480,2024-07-08,14:07:37,HOME,A,OK,14:07:21,14:07:37,16,3.49457,26.5475,-0.0362492
481,2024-07-08,14:08:05,A,B,OK,14:07:40,14:08:05,25,7.60358,26.5437,-0.0912533
482,2024-07-08,14:08:32,B,C,OK,14:08:07,14:08:33,25,7.0929,26.545,-0.0712509
483,2024-07-08,14:09:07,C,D,OK,14:08:35,14:09:08,33,11.9212,26.4912,-0.0487537
484,2024-07-08,14:09:32,D,E,OK,14:09:10,14:09:32,22,5.51648,26.6338,0.0837517
485,2024-07-08,14:10:08,E,HOME,OK,14:09:34,14:10:09,35,11.4352,26.55,0.0112476
486,2024-07-08,14:10:27,HOME,A,OK,14:10:11,14:10:27,16,3.53131,26.505,-0.0412521
487,2024-07-08,14:10:54,A,B,OK,14:10:30,14:10:55,25,7.56128,26.5625,0.0237484
488,2024-07-08,14:11:21,B,C,OK,14:10:56,14:11:22,25,7.06451,26.6262,-0.00499916
489,2024-07-08,14:11:56,C,D,OK,14:11:24,14:11:57,33,11.9888,26.5613,0.0250015
490,2024-07-08,14:12:19,D,E,OK,14:11:59,14:12:20,21,5.33148,26.5625,-0.0250053
491,2024-07-08,14:12:56,E,HOME,OK,14:12:22,14:12:57,35,11.4745,26.5513,0.0287533
492,2024-07-08,14:13:15,HOME,A,OK,14:12:59,14:13:15,16,3.49487,26.5362,-0.0587482
493,2024-07-08,14:13:42,A,B,OK,14:13:18,14:13:43,25,7.57788,26.6238,0.00250053
494,2024-07-08,14:14:10,B,C,OK,14:13:45,14:14:11,26,7.00952,26.6325,0.058754
495,2024-07-08,14:14:45,C,D,OK,14:14:12,14:14:46,33,12.0315,26.5487,-0.0587521
496,2024-07-08,14:15:09,D,E,OK,14:14:48,14:15:10,22,5.54938,26.5413,0.0275002
497,2024-07-08,14:15:51,E,HOME,OK,14:15:12,14:15:52,40,11.4437,26.4975,-0.00624847
498,2024-07-08,14:16:09,HOME,A,OK,14:15:54,14:16:10,16,3.47754,26.5425,0.00999451
499,2024-07-08,14:16:37,A,B,OK,14:16:12,14:16:37,25,7.5979,26.5213,0.0300007
500,2024-07-08,14:17:05,B,C,OK,14:16:40,14:17:06,26,7.05286,26.5387,0.00124931
501,2024-07-08,14:17:40,C,D,OK,14:17:07,14:17:41,33,11.995,26.4775,-0.126247
502,2024-07-08,14:18:04,D,E,OK,14:17:43,14:18:05,22,5.51685,26.5125,-0.0187492
503,2024-07-08,14:18:41,E,HOME,OK,14:18:07,14:18:41,35,11.4819,26.5263,-0.0612507
504,2024-07-08,14:19:00,HOME,A,OK,14:18:44,14:19:01,16,3.54883,26.505,-0.0500011
505,2024-07-08,14:19:28,A,B,OK,14:19:03,14:19:29,26,7.63037,26.5063,-0.10375
506,2024-07-08,14:19:56,B,C,OK,14:19:31,14:19:56,26,7.09076,26.5262,-0.0312519
507,2024-07-08,14:20:31,C,D,OK,14:19:58,14:20:32,34,12.0085,26.5163,-0.102497
508,2024-07-08,14:20:55,D,E,OK,14:20:34,14:20:56,21,5.34338,26.5063,0.0362492
509,2024-07-08,14:21:31,E,HOME,OK,14:20:58,14:21:32,34,11.4506,26.4863,-0.0837421
510,2024-07-08,14:21:51,HOME,A,OK,14:21:35,14:21:51,16,3.49158,26.5275,-0.0324974
511,2024-07-08,14:22:18,A,B,OK,14:21:54,14:22:18,25,7.59479,26.4925,-0.0450001
512,2024-07-08,14:22:45,B,C,OK,14:22:20,14:22:45,25,7.10602,26.5138,0.0125008
513,2024-07-08,14:23:21,C,D,OK,14:22:48,14:23:21,34,12.0632,26.5738,0.0362453
514,2024-07-08,14:23:45,D,E,OK,14:23:24,14:23:45,21,5.29724,26.5088,-0.0312481
515,2024-07-08,14:24:22,E,HOME,OK,14:23:47,14:24:22,35,11.5291,26.5012,0.0137482
516,2024-07-08,14:24:40,HOME,A,OK,14:24:24,14:24:41,16,3.5274,26.5387,0.0199986
517,2024-07-08,14:25:08,A,B,OK,14:24:43,14:25:08,25,7.65192,26.4862,-0.0287495
518,2024-07-08,14:25:36,B,C,OK,14:25:11,14:25:36,25,7.10529,26.49,-0.11375
519,2024-07-08,14:26:22,C,D,OK,14:25:38,14:26:22,44,12.8641,26.5075,-0.0912495
520,2024-07-08,14:26:45,D,E,OK,14:26:24,14:26:45,21,5.30371,26.5013,0.0175018
521,2024-07-08,14:27:22,E,HOME,OK,14:26:48,14:27:22,35,11.5011,26.5312,-0.00875092
522,2024-07-08,14:27:41,HOME,A,OK,14:27:25,14:27:41,16,3.48474,26.54,0.0312519
523,2024-07-08,14:28:08,A,B,OK,14:27:44,14:28:09,25,7.62341,26.5188,-0.0537472
524,2024-07-08,14:28:35,B,C,OK,14:28:10,14:28:36,26,7.09595,26.5188,0.0224991
525,2024-07-08,14:29:11,C,D,OK,14:28:38,14:29:12,34,12.0416,26.5625,0.0487499
526,2024-07-08,14:29:35,D,E,OK,14:29:14,14:29:35,21,5.29077,26.51,-0.00124931
527,2024-07-08,14:30:12,E,HOME,OK,14:29:37,14:30:12,35,11.962,26.5075,-0.101255
528,2024-07-08,14:30:31,HOME,A,OK,14:30:15,14:30:31,16,3.57776,26.5288,-0.072504
529,2024-07-08,14:30:58,A,B,OK,14:30:33,14:30:58,25,7.59387,26.5113,-0.0437489
530,2024-07-08,14:31:25,B,C,OK,14:31:00,14:31:26,26,7.10815,26.49,-0.00250053
531,2024-07-08,14:32:02,C,D,OK,14:31:28,14:32:02,34,12.0129,26.57,0.0750008
532,2024-07-08,14:32:26,D,E,OK,14:32:05,14:32:26,22,5.31836,26.5313,-0.0650005
533,2024-07-08,14:33:03,E,HOME,OK,14:32:29,14:33:03,34,11.1924,26.5313,0.022501
534,2024-07-08,14:34:17,HOME,A,NG,14:33:06,14:34:18,71,1.93005,26.5275,-0.0125027
535,2024-07-09,10:29:27,HOME,A,OK,10:28:46,10:29:27,41,5.66821,26.6238,0.0137501
536,2024-07-09,10:32:36,A,B,OK,10:31:59,10:32:36,38,7.62933,26.5763,0.00374603
537,2024-07-09,10:33:17,B,C,OK,10:32:41,10:33:18,37,7.09552,26.5537,-0.0787506
538,2024-07-09,10:34:34,C,HOME,OK,10:33:20,10:34:35,75,17.7835,26.5075,-0.00125122
539,2024-07-09,10:37:12,HOME,A,OK,10:36:24,10:37:13,49,3.252,26.5513,0.03125
540,2024-07-09,10:37:45,A,HOME,OK,10:37:20,10:37:46,26,3.69554,26.535,-0.0887508
541,2024-07-09,10:38:11,HOME,A,OK,10:37:51,10:38:11,20,3.34722,26.5575,0.0224991
542,2024-07-09,10:40:18,A,HOME,OK,10:39:51,10:40:18,27,3.71838,26.6188,-0.0337505
543,2024-07-09,10:40:50,HOME,A,OK,10:40:31,10:40:51,20,3.39231,26.61,0.0562496
544,2024-07-09,10:41:51,A,HOME,OK,10:41:22,10:41:51,29,3.65347,26.5225,-0.0762482
545,2024-07-09,11:06:58,HOME,A,OK,11:05:41,11:06:58,77,10.8549,26.545,0.013752
546,2024-07-09,11:07:31,A,B,OK,11:07:05,11:07:31,26,7.59084,26.555,-0.0650005
547,2024-07-09,11:08:18,B,A,OK,11:07:52,11:08:18,26,7.49261,26.5375,-0.0987511
548,2024-07-09,11:09:01,A,HOME,OK,11:08:42,11:09:02,20,3.7361,26.5063,-0.00625038
549,2024-07-09,11:10:08,HOME,C,OK,11:09:15,11:10:09,54,18.0249,26.515,-0.039999
550,2024-07-09,11:11:19,C,HOME,OK,11:10:30,11:11:19,49,17.7651,26.495,-0.0949955
551,2024-07-09,11:12:16,HOME,C,OK,11:11:29,11:12:17,48,17.5303,26.57,0.0262451
552,2024-07-09,11:13:09,C,HOME,OK,11:12:24,11:13:10,46,17.4374,26.515,-0.0849991
553,2024-07-09,11:14:31,HOME,C,OK,11:13:44,11:14:32,48,17.9467,26.4975,-0.045002
554,2024-07-09,11:15:31,C,HOME,NG,11:14:38,11:15:32,54,5.14951,26.4913,0.00875092
555,2024-07-09,11:17:17,HOME,HOME,OK,11:16:56,11:17:18,22,5.04787,26.5238,-0.0324993
556,2024-07-09,11:19:11,HOME,C,OK,11:18:23,11:19:11,48,17.464,26.6063,0.0775032
557,2024-07-09,11:20:58,C,HOME,NG,11:19:36,11:20:59,83,10.4464,26.5588,0.0275021
558,2024-07-09,11:24:21,HOME,HOME,OK,11:23:30,11:24:21,51,18.5519,26.5912,0.0349998
559,2024-07-09,11:25:17,HOME,C,OK,11:24:27,11:25:18,50,18.2623,26.5125,0.0349998
560,2024-07-09,11:26:52,C,HOME,OK,11:25:25,11:26:53,87,18.0469,26.5737,0.0387497
561,2024-07-09,11:27:58,HOME,C,OK,11:26:58,11:27:58,60,19.4998,26.5125,0.00874901
562,2024-07-09,11:29:01,C,HOME,NG,11:28:00,11:29:01,61,5.49631,26.5738,0.00250053
563,2024-07-09,11:30:37,HOME,HOME,OK,11:30:13,11:30:37,24,6.90778,26.55,0.359999
564,2024-07-09,11:31:36,HOME,C,OK,11:30:40,11:31:36,57,18.8137,26.5112,0.0100002
565,2024-07-09,11:32:33,C,HOME,OK,11:31:40,11:32:34,53,18.1807,26.58,-0.0187454
566,2024-07-09,11:33:28,HOME,C,OK,11:32:40,11:33:28,48,17.9177,26.575,0.0912514
567,2024-07-09,11:36:15,C,HOME,OK,11:35:30,11:36:16,46,14.6292,26.4975,0.0912476
568,2024-07-09,11:37:57,HOME,C,OK,11:37:02,11:37:58,56,18.1026,26.5088,-0.0849991
569,2024-07-09,11:39:13,C,HOME,OK,11:38:12,11:39:14,61,18.0635,26.4713,-0.134998
570,2024-07-09,11:40:08,HOME,C,OK,11:39:18,11:40:08,50,18.286,26.5675,0.0612488
571,2024-07-09,11:40:42,C,C,OK,11:40:42,11:40:42,0,0.0,26.6125,0.0625
572,2024-07-09,11:41:53,C,HOME,OK,11:40:44,11:41:54,70,18.1924,26.5713,0.0637569
573,2024-07-09,13:18:36,HOME,C,OK,13:17:49,13:18:37,47,17.3403,26.5725,0.0787506
574,2024-07-09,13:20:24,C,HOME,OK,13:19:36,13:20:25,49,18.162,26.4887,0.00124931
575,2024-07-09,13:22:00,HOME,C,OK,13:21:12,13:22:00,48,18.4263,26.465,-0.0724983
576,2024-07-09,13:23:05,C,HOME,OK,13:22:17,13:23:05,48,18.03,26.4763,0.0175037
577,2024-07-09,13:34:20,HOME,C,OK,13:33:33,13:34:21,48,17.8601,26.4662,-0.0237522
578,2024-07-09,13:37:14,C,HOME,OK,13:36:26,13:37:15,49,17.9496,26.4475,-0.0487499
579,2024-07-09,13:39:25,HOME,A,OK,13:39:08,13:39:25,18,3.80978,26.4762,-0.0162525
580,2024-07-09,13:39:54,A,B,OK,13:39:29,13:39:54,26,7.55901,26.53,0.0499992
581,2024-07-09,13:40:21,B,C,OK,13:39:56,13:40:22,26,7.1019,26.46,-0.0799999
582,2024-07-09,13:41:14,C,D,OK,13:40:24,13:41:15,51,13.6013,26.535,0.0887508
583,2024-07-09,13:41:38,D,E,OK,13:41:17,13:41:38,21,5.30139,26.4988,0.0462513
584,2024-07-09,13:42:15,E,HOME,OK,13:41:41,13:42:16,35,11.428,26.4837,0.0424976
585,2024-07-09,13:46:57,HOME,A,OK,13:46:41,13:46:58,17,3.455,26.4838,-0.0262508
586,2024-07-09,13:47:26,A,B,OK,13:47:00,13:47:26,26,7.54321,26.5537,0.0449982
587,2024-07-09,13:47:54,B,C,OK,13:47:28,13:47:54,26,7.00458,26.495,0.0512524
588,2024-07-09,13:48:32,C,D,OK,13:47:57,13:48:33,36,12.2948,26.4338,0.0100021
589,2024-07-09,13:48:56,D,E,OK,13:48:34,13:48:56,22,5.34531,26.4813,-0.0249996
590,2024-07-09,13:49:33,E,HOME,OK,13:48:59,13:49:34,35,11.4197,26.4263,0.00874901
591,2024-07-09,13:50:24,HOME,A,OK,13:50:08,13:50:24,16,3.41933,26.5025,0.0749989
592,2024-07-09,13:50:54,A,B,OK,13:50:28,13:50:54,26,7.5867,26.4788,-0.048748
593,2024-07-09,13:51:23,B,C,OK,13:50:57,13:51:23,26,7.07574,26.4587,-0.00124931
594,2024-07-09,13:52:15,C,D,OK,13:51:25,13:52:16,51,13.6171,26.5375,0.0862503
595,2024-07-09,13:52:39,D,E,OK,13:52:19,13:52:40,21,5.34488,26.4088,-0.0399971
596,2024-07-09,13:53:18,E,HOME,OK,13:52:44,13:53:18,35,11.4196,26.435,0.0375004
597,2024-07-09,13:54:41,HOME,A,OK,13:54:23,13:54:41,18,3.79257,26.47,0.0337486
598,2024-07-09,13:55:08,A,B,OK,13:54:43,13:55:09,26,7.59625,26.5037,-0.0387497
599,2024-07-09,13:55:36,B,C,OK,13:55:10,13:55:36,26,7.05927,26.4525,-0.0412502
600,2024-07-09,13:56:52,C,D,OK,13:55:39,13:56:53,74,17.1142,26.5288,0.0812511
601,2024-07-09,13:57:16,D,E,OK,13:56:54,13:57:16,22,5.37265,26.4,-0.154995
602,2024-07-09,13:57:53,E,HOME,OK,13:57:19,13:57:53,35,11.4461,26.5212,0.057497
603,2024-07-09,13:58:12,HOME,A,OK,13:57:56,13:58:12,17,3.44907,26.5362,0.113747
604,2024-07-09,13:58:40,A,B,OK,13:58:14,13:58:40,26,7.54221,26.45,-0.0825005
605,2024-07-09,13:59:08,B,C,OK,13:58:43,13:59:09,26,6.99704,26.4275,-0.0112514
606,2024-07-09,14:00:01,C,D,OK,13:59:11,14:00:01,51,13.5889,26.5025,-0.0387516
